ADM1_NAME,ADM2_NAME,year,month,absorbing_aerosol_index
Ashanti,Obuasi Municipal,2019.0,1.0,0.11469210170423359
Ashanti,Atwima Nwabiagya,2019.0,1.0,0.1844583082713331
Ashanti,Atwima Mponua,2019.0,1.0,0.049008099967743315
Ashanti,Adansi South,2019.0,1.0,0.06319114091568635
Ashanti,Adansi North,2019.0,1.0,0.10011500397029233
Ashanti,Bosome Freho,2019.0,1.0,0.0984554765726703
Ashanti,Bekwai Municipal,2019.0,1.0,0.20721406279332114
Ashanti,Amansie Central,2019.0,1.0,0.13606022141906807
Western,Wassa Amenfi West,2019.0,1.0,-0.0015380743372100378
Ashanti,Afigya Kwabre,2019.0,1.0,0.14683694005690553
Ashanti,Atwima Kwanwoma,2019.0,1.0,0.29576992680476516
Ashanti,Afigya Sekyere,2019.0,1.0,0.08750587492944575
Ashanti,Sekyere Central,2019.0,1.0,0.30361533260004064
Ashanti,Offinso North,2019.0,1.0,0.06567842675918585
Ashanti,Offinso Municipal,2019.0,1.0,0.06600055788755495
Ashanti,Bosomtwe /Atwima / Kwanwoma,2019.0,1.0,0.1902729118015034
Ashanti,Mampong Municipal,2019.0,1.0,0.18394884247590798
Western,Ellembelle,2019.0,1.0,-0.03481181324650534
Western,Prestea / Huni Valley,2019.0,1.0,0.06375630079510568
Western,Nzema East,2019.0,1.0,-0.01814687335571061
Western,Tarkwa Nsuaem,2019.0,1.0,0.049973394780584435
Western,Sefwi Akontombra,2019.0,1.0,0.013615001522292924
Western,Sekondi Takoradi,2019.0,1.0,0.14250648642668817
Western,Sefwi-Wiawso,2019.0,1.0,0.0014711150562474946
Western,Shama,2019.0,1.0,0.13705662665825438
Ashanti,Sekyere East,2019.0,1.0,0.09035590892948007
Western,Aowin,2019.0,1.0,-0.03450529093024093
Western,Suaman,2019.0,1.0,0.01457028592538745
Western,Bia East,2019.0,1.0,-0.023241718043077245
Western,Bia West,2019.0,1.0,0.0208262899236447
Western,Bodi,2019.0,1.0,0.03694609722901656
Western,Juabeso,2019.0,1.0,0.01847695212257033
